"","Year","Round","Region Number","Region Name","Seed","Score","Team","Opponent","Opp_Score","Opp_Seed","Win"
"1",2001,1,1,"Midwest",1,96,"Illinois","Northwestern St",54,16,1
"2",2001,1,1,"Midwest",16,54,"Northwestern St","Illinois",96,1,0
"3",2001,1,1,"Midwest",2,101,"Arizona","Eastern Illinois",76,15,1
"4",2001,1,1,"Midwest",15,76,"Eastern Illinois","Arizona",101,2,0
"5",2001,1,1,"Midwest",3,72,"Ole Miss","Iona",70,14,1
"6",2001,1,1,"Midwest",14,70,"Iona","Ole Miss",72,3,0
"7",2001,1,1,"Midwest",4,99,"Kansas","Cal St Northridge",75,13,1
"8",2001,1,1,"Midwest",13,75,"Cal St Northridge","Kansas",99,4,0
"9",2001,1,1,"Midwest",5,79,"Syracuse","Hawaii",69,12,1
"10",2001,1,1,"Midwest",12,69,"Hawaii","Syracuse",79,5,0
"11",2001,1,1,"Midwest",6,83,"Notre Dame","Xavier",71,11,1
"12",2001,1,1,"Midwest",11,71,"Xavier","Notre Dame",83,6,0
"13",2001,1,1,"Midwest",7,63,"Wake Forest","Butler",79,10,0
"14",2001,1,1,"Midwest",10,79,"Butler","Wake Forest",63,7,1
"15",2001,1,1,"Midwest",8,63,"Tennessee","Charlotte",70,9,0
"16",2001,1,1,"Midwest",9,70,"Charlotte","Tennessee",63,8,1
"17",2001,1,2,"South",1,69,"Michigan St","Alabama St",35,16,1
"18",2001,1,2,"South",16,35,"Alabama St","Michigan St",69,1,0
"19",2001,1,2,"South",2,70,"North Carolina","Princeton",48,15,1
"20",2001,1,2,"South",15,48,"Princeton","North Carolina",70,2,0
"21",2001,1,2,"South",3,69,"Florida","Western Kentucky",56,14,1
"22",2001,1,2,"South",14,56,"Western Kentucky","Florida",69,3,0
"23",2001,1,2,"South",4,68,"Oklahoma","Indiana St",70,13,0
"24",2001,1,2,"South",13,70,"Indiana St","Oklahoma",68,4,1
"25",2001,1,2,"South",5,85,"Virginia","Gonzaga",86,12,0
"26",2001,1,2,"South",12,86,"Gonzaga","Virginia",85,5,1
"27",2001,1,2,"South",6,65,"Texas","Temple",79,11,0
"28",2001,1,2,"South",11,79,"Temple","Texas",65,6,1
"29",2001,1,2,"South",7,69,"Penn St","Providence",59,10,1
"30",2001,1,2,"South",10,59,"Providence","Penn St",69,7,0
"31",2001,1,2,"South",8,70,"California","Fresno St",82,9,0
"32",2001,1,2,"South",9,82,"Fresno St","California",70,8,1
"33",2001,1,3,"East",1,95,"Duke","Monmouth",52,16,1
"34",2001,1,3,"East",16,52,"Monmouth","Duke",95,1,0
"35",2001,1,3,"East",2,72,"Kentucky","Holy Cross",68,15,1
"36",2001,1,3,"East",15,68,"Holy Cross","Kentucky",72,2,0
"37",2001,1,3,"East",3,68,"Boston College","Southern Utah",65,14,1
"38",2001,1,3,"East",14,65,"Southern Utah","Boston College",68,3,0
"39",2001,1,3,"East",4,61,"UCLA","Hofstra",48,13,1
"40",2001,1,3,"East",13,48,"Hofstra","UCLA",61,4,0
"41",2001,1,3,"East",5,68,"Ohio St","Utah St",77,12,0
"42",2001,1,3,"East",12,77,"Utah St","Ohio St",68,5,1
"43",2001,1,3,"East",6,69,"USC","Oklahoma St",54,11,1
"44",2001,1,3,"East",11,54,"Oklahoma St","USC",69,6,0
"45",2001,1,3,"East",7,69,"Iowa","Creighton",56,10,1
"46",2001,1,3,"East",10,56,"Creighton","Iowa",69,7,0
