"","Round","Region","Seed","Team","Opponent","Opp_Seed","G","W_overall","L_overall","W-L%","SRS","SOS","Tm.","Opp.","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","Year","Opp_G","Opp_Ws","Opp_Ls","Opp_WLRat","Opp_SRS","Opp_SOS","Opp_Tm","Opp_Opp","Opp_MP","Opp_FG","Opp_FGA","Opp_FGperc","Opp_3P","Opp_3PA","Opp_3Pperc","Opp_FT","Opp_FTA","Opp_FTperc","Opp_ORB","Opp_TRB","Opp_AST","Opp_STL","Opp_BLK","Opp_TOV","Opp_PF"
"1",1,"Midwest",1,"Illinois","Drexel",16,29,23,6,0.793,24.84,12.67,2361,2008,1175,851,1707,0.499,197,524,0.376,462,669,0.691,313,1172,473,166,82,382,520,2020,19,12,7,0.632,0.23,-4.41,1358,1270,760,495,1038,0.477,138,371,0.372,230,296,0.777,168,645,288,89,45,245,288
"2",1,"Midwest",16,"Drexel","Illinois",1,19,12,7,0.632,0.23,-4.41,1358,1270,760,495,1038,0.477,138,371,0.372,230,296,0.777,168,645,288,89,45,245,288,2020,29,23,6,0.793,24.84,12.67,2361,2008,1175,851,1707,0.499,197,524,0.376,462,669,0.691,313,1172,473,166,82,382,520
"3",1,"Midwest",2,"Houston","Cleveland State",15,27,24,3,0.889,22.14,4.14,2096,1562,1080,739,1664,0.444,252,699,0.361,366,494,0.741,387,1110,381,221,126,293,506,2020,26,19,7,0.731,-4.09,-4.97,1858,1835,1065,684,1514,0.452,166,520,0.319,324,484,0.669,279,910,363,182,65,334,499
"4",1,"Midwest",15,"Cleveland State","Houston",2,26,19,7,0.731,-4.09,-4.97,1858,1835,1065,684,1514,0.452,166,520,0.319,324,484,0.669,279,910,363,182,65,334,499,2020,27,24,3,0.889,22.14,4.14,2096,1562,1080,739,1664,0.444,252,699,0.361,366,494,0.741,387,1110,381,221,126,293,506
"5",1,"Midwest",3,"West Virginia","Morehead State",14,27,18,9,0.667,15.86,10.67,2087,1947,1095,711,1660,0.428,196,549,0.357,469,654,0.717,363,1030,373,202,77,328,442,2020,30,23,7,0.767,-0.45,-4.55,2065,1902,1210,738,1601,0.461,197,562,0.351,392,575,0.682,309,1125,382,132,150,459,432
"6",1,"Midwest",14,"Morehead State","West Virginia",3,30,23,7,0.767,-0.45,-4.55,2065,1902,1210,738,1601,0.461,197,562,0.351,392,575,0.682,309,1125,382,132,150,459,432,2020,27,18,9,0.667,15.86,10.67,2087,1947,1095,711,1660,0.428,196,549,0.357,469,654,0.717,363,1030,373,202,77,328,442
"7",1,"Midwest",4,"Oklahoma State","Liberty",13,28,20,8,0.714,14.14,9.97,2158,2041,1145,775,1658,0.467,179,529,0.338,429,602,0.713,309,1081,370,204,123,446,470,2020,28,23,5,0.821,4.3,-6.7,2097,1670,1120,761,1548,0.492,289,740,0.391,286,368,0.777,198,934,446,128,64,271,407
"8",1,"Midwest",13,"Liberty","Oklahoma State",4,28,23,5,0.821,4.3,-6.7,2097,1670,1120,761,1548,0.492,289,740,0.391,286,368,0.777,198,934,446,128,64,271,407,2020,28,20,8,0.714,14.14,9.97,2158,2041,1145,775,1658,0.467,179,529,0.338,429,602,0.713,309,1081,370,204,123,446,470
"9",1,"Midwest",5,"Tennessee","Oregon State",12,26,18,8,0.692,18.06,8.79,1885,1644,1040,661,1491,0.443,173,512,0.338,390,523,0.746,281,934,391,188,128,325,428,2020,29,17,12,0.586,7.55,7.69,2049,1981,1170,712,1637,0.435,203,575,0.353,422,557,0.758,299,977,426,176,96,328,547
"10",1,"Midwest",12,"Oregon State","Tennessee",5,29,17,12,0.586,7.55,7.69,2049,1981,1170,712,1637,0.435,203,575,0.353,422,557,0.758,299,977,426,176,96,328,547,2020,26,18,8,0.692,18.06,8.79,1885,1644,1040,661,1491,0.443,173,512,0.338,390,523,0.746,281,934,391,188,128,325,428
"11",1,"Midwest",6,"San Diego State","Syracuse",11,27,23,4,0.852,14.63,2.2,2000,1635,1085,695,1529,0.455,229,611,0.375,381,527,0.723,262,970,374,223,77,305,501,2020,25,16,9,0.64,13.75,8.63,1896,1768,1005,676,1533,0.441,203,599,0.339,341,435,0.784,273,896,382,218,123,279,363
"12",1,"Midwest",11,"Syracuse","San Diego State",6,25,16,9,0.64,13.75,8.63,1896,1768,1005,676,1533,0.441,203,599,0.339,341,435,0.784,273,896,382,218,123,279,363,2020,27,23,4,0.852,14.63,2.2,2000,1635,1085,695,1529,0.455,229,611,0.375,381,527,0.723,262,970,374,223,77,305,501
"13",1,"Midwest",7,"Clemson","Rutgers",10,23,16,7,0.696,13.5,10.19,1502,1426,925,541,1264,0.428,192,555,0.346,228,298,0.765,198,751,305,140,66,292,361,2020,26,15,11,0.577,15.18,13.45,1819,1774,1045,696,1544,0.451,157,505,0.311,270,427,0.632,254,918,359,203,136,294,459
"14",1,"Midwest",10,"Rutgers","Clemson",7,26,15,11,0.577,15.18,13.45,1819,1774,1045,696,1544,0.451,157,505,0.311,270,427,0.632,254,918,359,203,136,294,459,2020,23,16,7,0.696,13.5,10.19,1502,1426,925,541,1264,0.428,192,555,0.346,228,298,0.765,198,751,305,140,66,292,361
"15",1,"Midwest",8,"Loyola (IL)","Georgia Tech",9,28,24,4,0.857,14.6,-0.09,2002,1555,1130,735,1456,0.505,201,546,0.368,331,458,0.723,201,914,442,194,67,334,399,2020,25,17,8,0.68,14.06,8.54,1888,1750,1025,695,1467,0.474,189,542,0.349,309,425,0.727,204,770,401,230,85,278,391
"16",1,"Midwest",9,"Georgia Tech","Loyola (IL)",8,25,17,8,0.68,14.06,8.54,1888,1750,1025,695,1467,0.474,189,542,0.349,309,425,0.727,204,770,401,230,85,278,391,2020,28,24,4,0.857,14.6,-0.09,2002,1555,1130,735,1456,0.505,201,546,0.368,331,458,0.723,201,914,442,194,67,334,399
"17",1,"South",1,"Baylor","Hartford",16,24,22,2,0.917,23.32,5.36,2025,1594,965,746,1513,0.493,248,593,0.418,285,409,0.697,309,875,409,215,90,298,412,2020,23,15,8,0.652,-2.76,-5.37,1515,1455,920,543,1251,0.434,174,532,0.327,255,358,0.712,187,763,253,161,47,291,371
"18",1,"South",16,"Hartford","Baylor",1,23,15,8,0.652,-2.76,-5.37,1515,1455,920,543,1251,0.434,174,532,0.327,255,358,0.712,187,763,253,161,47,291,371,2020,24,22,2,0.917,23.32,5.36,2025,1594,965,746,1513,0.493,248,593,0.418,285,409,0.697,309,875,409,215,90,298,412
"19",1,"South",2,"Ohio State","Oral Roberts",15,30,21,9,0.7,19.95,13.58,2320,2129,1210,790,1719,0.46,247,677,0.365,493,646,0.763,292,1086,391,138,103,313,554,2020,26,16,10,0.615,-0.76,-2.58,2126,1970,1040,734,1617,0.454,294,753,0.39,364,442,0.824,219,915,329,166,106,299,461
"20",1,"South",15,"Oral Roberts","Ohio State",2,26,16,10,0.615,-0.76,-2.58,2126,1970,1040,734,1617,0.454,294,753,0.39,364,442,0.824,219,915,329,166,106,299,461,2020,30,21,9,0.7,19.95,13.58,2320,2129,1210,790,1719,0.46,247,677,0.365,493,646,0.763,292,1086,391,138,103,313,554
"21",1,"South",3,"Arkansas","Colgate",14,28,22,6,0.786,18.06,6.34,2307,1979,1125,825,1814,0.455,220,649,0.339,437,593,0.737,334,1119,419,226,145,368,474,2020,15,14,1,0.933,19.16,1.43,1295,1029,605,472,946,0.499,136,338,0.402,215,294,0.731,144,596,262,108,52,151,235
"22",1,"South",14,"Colgate","Arkansas",3,15,14,1,0.933,19.16,1.43,1295,1029,605,472,946,0.499,136,338,0.402,215,294,0.731,144,596,262,108,52,151,235,2020,28,22,6,0.786,18.06,6.34,2307,1979,1125,825,1814,0.455,220,649,0.339,437,593,0.737,334,1119,419,226,145,368,474
"23",1,"South",4,"Purdue","North Texas",13,27,18,9,0.667,17.29,12.47,1920,1790,1085,689,1527,0.451,192,573,0.335,350,492,0.711,294,1015,386,140,92,339,473,2020,26,17,9,0.654,7.4,-0.24,1815,1592,1045,668,1405,0.475,197,524,0.376,282,384,0.734,224,867,347,176,77,343,409
"24",1,"South",13,"North Texas","Purdue",4,26,17,9,0.654,7.4,-0.24,1815,1592,1045,668,1405,0.475,197,524,0.376,282,384,0.734,224,867,347,176,77,343,409,2020,27,18,9,0.667,17.29,12.47,1920,1790,1085,689,1527,0.451,192,573,0.335,350,492,0.711,294,1015,386,140,92,339,473
