"","Year","Round","Region Number","Region Name","Seed","Score","Team","Opponent","Opp_Score","Opp_Seed","Win","G","W_overall","L_overall","W-L%","SRS","SOS","Tm.","Opp.","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","Opp_G","Opp_Ws","Opp_Ls","Opp_WLRat","Opp_SRS","Opp_SOS","Opp_Tm","Opp_Opp","Opp_MP","Opp_FG","Opp_FGA","Opp_FGperc","Opp_3P","Opp_3PA","Opp_3Pperc","Opp_FT","Opp_FTA","Opp_FTperc","Opp_ORB","Opp_TRB","Opp_AST","Opp_STL","Opp_BLK","Opp_TOV","Opp_PF"
"1",2001,1,1,"Midwest",1,96,"Illinois","Northwestern St",54,16,1,35,27,8,0.771,23.32,11.38,2725,2307,NA,929,2046,0.454,247,678,0.364,620,880,0.705,479,1400,550,269,146,524,772,32,19,13,0.594,-11.1,-7.82,2292,2397,NA,768,1856,0.414,175,551,0.318,581,877,0.662,410,1178,392,308,133,537,765
"2",2001,1,1,"Midwest",16,54,"Northwestern St","Illinois",96,1,0,32,19,13,0.594,-11.1,-7.82,2292,2397,NA,768,1856,0.414,175,551,0.318,581,877,0.662,410,1178,392,308,133,537,765,35,27,8,0.771,23.32,11.38,2725,2307,NA,929,2046,0.454,247,678,0.364,620,880,0.705,479,1400,550,269,146,524,772
"3",2001,1,1,"Midwest",2,101,"Arizona","Eastern Illinois",76,15,1,36,28,8,0.778,26.84,12.56,2926,2386,NA,1015,2131,0.476,193,544,0.355,703,940,0.748,487,1433,585,283,159,546,630,31,21,10,0.677,0.99,-2.46,2564,2439,NA,915,1931,0.474,230,584,0.394,504,650,0.775,359,1124,514,197,116,427,577
"4",2001,1,1,"Midwest",15,76,"Eastern Illinois","Arizona",101,2,0,31,21,10,0.677,0.99,-2.46,2564,2439,NA,915,1931,0.474,230,584,0.394,504,650,0.775,359,1124,514,197,116,427,577,36,28,8,0.778,26.84,12.56,2926,2386,NA,1015,2131,0.476,193,544,0.355,703,940,0.748,487,1433,585,283,159,546,630
"5",2001,1,1,"Midwest",3,72,"Ole Miss","Iona",70,14,1,35,27,8,0.771,15.05,9.2,2496,2262,NA,865,1958,0.442,224,655,0.342,542,829,0.654,416,1227,500,285,115,500,719,33,22,11,0.667,0.25,-4.09,2549,2375,NA,912,1896,0.481,159,415,0.383,566,822,0.689,378,1239,481,259,183,557,717
"6",2001,1,1,"Midwest",14,70,"Iona","Ole Miss",72,3,0,33,22,11,0.667,0.25,-4.09,2549,2375,NA,912,1896,0.481,159,415,0.383,566,822,0.689,378,1239,481,259,183,557,717,35,27,8,0.771,15.05,9.2,2496,2262,NA,865,1958,0.442,224,655,0.342,542,829,0.654,416,1227,500,285,115,500,719
"7",2001,1,1,"Midwest",4,99,"Kansas","Cal St Northridge",75,13,1,33,26,7,0.788,20.23,9.03,2707,2286,NA,1002,1996,0.502,183,465,0.394,520,789,0.659,443,1407,641,217,170,532,648,32,22,10,0.688,5.94,0.24,2650,2409,NA,910,1842,0.494,217,547,0.397,613,865,0.709,373,1158,608,267,77,489,716
"8",2001,1,1,"Midwest",13,75,"Cal St Northridge","Kansas",99,4,0,32,22,10,0.688,5.94,0.24,2650,2409,NA,910,1842,0.494,217,547,0.397,613,865,0.709,373,1158,608,267,77,489,716,33,26,7,0.788,20.23,9.03,2707,2286,NA,1002,1996,0.502,183,465,0.394,520,789,0.659,443,1407,641,217,170,532,648
"9",2001,1,1,"Midwest",5,79,"Syracuse","Hawaii",69,12,1,34,25,9,0.735,11.14,5.82,2475,2294,NA,885,2029,0.436,185,552,0.335,520,727,0.715,442,1213,545,325,203,441,681,31,17,14,0.548,6.89,7.25,2254,2265,NA,797,1703,0.468,177,507,0.349,483,666,0.725,335,999,557,183,74,516,605
"10",2001,1,1,"Midwest",12,69,"Hawaii","Syracuse",79,5,0,31,17,14,0.548,6.89,7.25,2254,2265,NA,797,1703,0.468,177,507,0.349,483,666,0.725,335,999,557,183,74,516,605,34,25,9,0.735,11.14,5.82,2475,2294,NA,885,2029,0.436,185,552,0.335,520,727,0.715,442,1213,545,325,203,441,681
"11",2001,1,1,"Midwest",6,83,"Notre Dame","Xavier",71,11,1,30,20,10,0.667,14.35,5.68,2338,2078,NA,814,1763,0.462,219,570,0.384,491,714,0.688,370,1214,527,199,178,434,501,29,21,8,0.724,12.14,4.59,2130,1911,NA,706,1653,0.427,178,587,0.303,540,768,0.703,391,1125,398,208,115,415,551
"12",2001,1,1,"Midwest",11,71,"Xavier","Notre Dame",83,6,0,29,21,8,0.724,12.14,4.59,2130,1911,NA,706,1653,0.427,178,587,0.303,540,768,0.703,391,1125,398,208,115,415,551,30,20,10,0.667,14.35,5.68,2338,2078,NA,814,1763,0.462,219,570,0.384,491,714,0.688,370,1214,527,199,178,434,501
"13",2001,1,1,"Midwest",7,63,"Wake Forest","Butler",79,10,0,30,19,11,0.633,20.53,10.5,2296,1995,NA,838,1815,0.462,177,494,0.358,443,609,0.727,342,1104,465,219,136,375,572,32,24,8,0.75,12.55,3.98,2228,1946,NA,755,1643,0.46,251,617,0.407,467,652,0.716,305,922,388,222,89,377,505
"14",2001,1,1,"Midwest",10,79,"Butler","Wake Forest",63,7,1,32,24,8,0.75,12.55,3.98,2228,1946,NA,755,1643,0.46,251,617,0.407,467,652,0.716,305,922,388,222,89,377,505,30,19,11,0.633,20.53,10.5,2296,1995,NA,838,1815,0.462,177,494,0.358,443,609,0.727,342,1104,465,219,136,375,572
"15",2001,1,1,"Midwest",8,63,"Tennessee","Charlotte",70,9,0,33,22,11,0.667,15.49,10.28,2668,2496,NA,909,1980,0.459,257,697,0.369,593,872,0.68,421,1301,528,232,191,528,712,33,22,11,0.667,14.24,7.91,2583,2374,NA,873,1998,0.437,305,848,0.36,532,777,0.685,411,1267,471,231,97,418,663
"16",2001,1,1,"Midwest",9,70,"Charlotte","Tennessee",63,8,1,33,22,11,0.667,14.24,7.91,2583,2374,NA,873,1998,0.437,305,848,0.36,532,777,0.685,411,1267,471,231,97,418,663,33,22,11,0.667,15.49,10.28,2668,2496,NA,909,1980,0.459,257,697,0.369,593,872,0.68,421,1301,528,232,191,528,712
"17",2001,1,2,"South",1,69,"Michigan St","Alabama St",35,16,1,33,28,5,0.848,25.12,9.54,2553,2039,NA,957,1957,0.489,146,453,0.322,493,686,0.719,514,1404,579,210,133,451,611,31,22,9,0.71,-8.86,-13.61,2135,1980,NA,756,1713,0.441,165,506,0.326,458,696,0.658,386,1175,410,260,93,510,502
"18",2001,1,2,"South",16,35,"Alabama St","Michigan St",69,1,0,31,22,9,0.71,-8.86,-13.61,2135,1980,NA,756,1713,0.441,165,506,0.326,458,696,0.658,386,1175,410,260,93,510,502,33,28,5,0.848,25.12,9.54,2553,2039,NA,957,1957,0.489,146,453,0.322,493,686,0.719,514,1404,579,210,133,451,611
"19",2001,1,2,"South",2,70,"UNC","Princeton",48,15,1,33,26,7,0.788,19.95,11.77,2611,2341,NA,945,1972,0.479,189,519,0.364,532,794,0.67,411,1363,576,244,184,518,576,27,16,11,0.593,-2.53,-1.88,1562,1569,NA,540,1203,0.449,218,619,0.352,264,363,0.727,174,692,383,180,61,340,456
"20",2001,1,2,"South",15,48,"Princeton","UNC",70,2,0,27,16,11,0.593,-2.53,-1.88,1562,1569,NA,540,1203,0.449,218,619,0.352,264,363,0.727,174,692,383,180,61,340,456,33,26,7,0.788,19.95,11.77,2611,2341,NA,945,1972,0.479,189,519,0.364,532,794,0.67,411,1363,576,244,184,518,576
"21",2001,1,2,"South",3,69,"Florida","Western Kentucky",56,14,1,31,24,7,0.774,21.32,7.51,2509,2081,NA,849,1764,0.481,256,668,0.383,555,761,0.729,319,1145,538,271,114,451,589,31,24,7,0.774,8.67,-1.65,2303,1889,NA,812,1789,0.454,213,605,0.352,466,674,0.691,441,1240,452,246,155,453,588
