Round,Region,Seed,Team,Team_1,Seed_1
,Midwest,1,Illinois,Drexel,16
,Midwest,2,Houston,Cleveland State,15
,Midwest,3,West Virginia,Morehead State,14
,Midwest,4,Oklahoma State,Liberty,13
,Midwest,5,Tennessee,Oregon State,12
,Midwest,6,San Diego State,Syracuse,11
,Midwest,7,Clemson,Rutgers,10
,Midwest,8,Loyola (IL),Georgia Tech,9
,South,1,Baylor,Hartford,16
,South,2,Ohio State,Oral Roberts,15
,South,3,Arkansas,Colgate,14
,South,4,Purdue,North Texas,13
,South,5,Villanova,Winthrop,12
,South,6,Texas Tech,Utah State,11
,South,7,Florida,Virginia Tech,10
,South,8,North Carolina,Wisconsin,9
,East,1,Michigan,Texas Southern,16
,East,1,Michigan,Mount St. Mary's,16
,East,2,Alabama,Iona,15
,East,3,Texas,Abilene Christian,14
,East,4,Florida State,North Carolina-Greensboro,13
,East,5,Colorado,Georgetown,12
,East,6,Brigham Young,Michigan State,11
,East,6,Brigham Young,UCLA,11
,East,7,Connecticut,Maryland,10
,East,8,Louisiana State,St. Bonaventure,9
,West,1,Gonzaga,Norfolk State,16
,West,1,Gonzaga,Appalachian State,16
,West,2,Iowa,Grand Canyon,15
,West,3,Kansas,Eastern Washington,14
,West,4,Virginia,Ohio,13
,West,5,Creighton,UC-Santa Barbara,12
,West,6,Southern California,Wichita State,11
,West,6,Southern California,Drake,11
,West,7,Oregon,Virginia Commonwealth,10
,West,8,Oklahoma,Missouri,9
