School,G,W_overall,L_overall,W-L%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
Alabama State,31,22,9,.710,-8.86,-13.61,2135,1980,,756,1713,.441,165,506,.326,458,696,.658,386,1175,410,260,93,510,502,2001
Arizona,36,28,8,.778,26.84,12.56,2926,2386,,1015,2131,.476,193,544,.355,703,940,.748,487,1433,585,283,159,546,630,2001
Arkansas,31,20,11,.645,16.61,6.16,2476,2132,,881,1990,.443,273,741,.368,441,639,.690,410,1100,476,365,124,451,654,2001
Boston College,32,27,5,.844,17.99,5.18,2547,2129,,879,1934,.454,230,651,.353,559,788,.709,486,1166,464,326,97,423,652,2001
Brigham Young,33,24,9,.727,10.94,3.47,2324,2069,,744,1620,.459,185,485,.381,651,835,.780,292,1052,414,203,108,433,491,2001
Butler,32,24,8,.750,12.55,3.98,2228,1946,,755,1643,.460,251,617,.407,467,652,.716,305,922,388,222,89,377,505,2001
Cal State Northridge,32,22,10,.688,5.94,0.24,2650,2409,,910,1842,.494,217,547,.397,613,865,.709,373,1158,608,267,77,489,716,2001
University of California,31,20,11,.645,14.76,9.08,2304,2128,,813,1699,.479,176,503,.350,502,732,.686,281,998,508,225,66,424,570,2001
Charlotte,33,22,11,.667,14.24,7.91,2583,2374,,873,1998,.437,305,848,.360,532,777,.685,411,1267,471,231,97,418,663,2001
Cincinnati,35,25,10,.714,16.19,7.84,2586,2294,,921,2076,.444,214,600,.357,530,760,.697,464,1216,451,194,118,380,666,2001
Creighton,32,24,8,.750,12.40,3.00,2325,2024,,788,1782,.442,249,694,.359,500,712,.702,357,1084,490,293,114,426,646,2001
Duke,39,35,4,.897,32.18,11.98,3538,2750,,1217,2530,.481,407,1057,.385,697,1002,.696,538,1505,701,411,196,531,659,2001
Eastern Illinois,31,21,10,.677,0.99,-2.46,2564,2439,,915,1931,.474,230,584,.394,504,650,.775,359,1124,514,197,116,427,577,2001
Florida,31,24,7,.774,21.32,7.51,2509,2081,,849,1764,.481,256,668,.383,555,761,.729,319,1145,538,271,114,451,589,2001
Fresno State,33,26,7,.788,15.66,5.14,2689,2342,,954,2030,.470,241,678,.355,540,793,.681,389,1240,592,330,209,551,626,2001
George Mason,30,18,12,.600,5.12,-0.35,2127,1963,,784,1705,.460,142,439,.323,417,633,.659,357,1018,411,252,129,429,544,2001
Georgetown,33,25,8,.758,12.07,1.58,2574,2228,,924,2115,.437,186,561,.332,540,817,.661,607,1481,547,324,198,550,694,2001
Georgia State,34,29,5,.853,5.25,-3.72,2701,2337,,929,2068,.449,276,780,.354,567,808,.702,441,1171,449,351,129,435,617,2001
Georgia Tech,30,17,13,.567,14.51,11.78,2269,2187,,776,1822,.426,260,700,.371,457,662,.690,345,1125,488,238,136,474,645,2001
Georgia,31,16,15,.516,12.67,12.71,2257,2258,,845,1820,.464,142,411,.345,425,632,.672,397,1193,471,195,149,485,569,2001
Gonzaga,33,26,7,.788,12.57,0.32,2720,2272,,915,1793,.510,245,606,.404,645,947,.681,369,1265,537,191,135,472,619,2001
Hampton,32,25,7,.781,-3.67,-10.60,2471,2246,,850,1846,.460,200,575,.348,571,835,.684,434,1243,449,218,185,489,596,2001
Hawaii,31,17,14,.548,6.89,7.25,2254,2265,,797,1703,.468,177,507,.349,483,666,.725,335,999,557,183,74,516,605,2001
Hofstra,31,26,5,.839,5.11,-5.47,2257,1929,,784,1657,.473,167,503,.332,522,807,.647,373,1166,414,237,119,511,547,2001
Holy Cross,30,22,8,.733,-0.31,-5.84,2034,1868,,640,1437,.445,136,388,.351,618,940,.657,388,1155,385,188,157,512,583,2001
Illinois,35,27,8,.771,23.32,11.38,2725,2307,,929,2046,.454,247,678,.364,620,880,.705,479,1400,550,269,146,524,772,2001
Indiana State,34,22,12,.647,6.95,2.50,2479,2305,,861,1872,.460,213,594,.359,544,772,.705,334,1069,521,237,100,402,576,2001
Indiana,34,21,13,.618,17.58,11.05,2408,2186,,858,1896,.453,181,500,.362,511,804,.636,377,1268,513,231,178,496,650,2001
Iona,33,22,11,.667,0.25,-4.09,2549,2375,,912,1896,.481,159,415,.383,566,822,.689,378,1239,481,259,183,557,717,2001
Iowa State,31,25,6,.806,15.90,4.87,2451,2115,,823,1735,.474,182,436,.417,623,856,.728,375,1228,429,190,102,467,636,2001
Iowa,35,23,12,.657,14.24,10.70,2593,2469,,815,1895,.430,210,573,.366,753,1068,.705,482,1351,474,191,83,520,783,2001
